time_h,temperature_C,air_moisture_kg_per_kg
1.8,49.477,0.04845
1.81666666666667,49.891,0.04875
1.83333333333333,49.683,0.04858
1.85,49.569,0.04882
1.86666666666667,49.633,0.04886
1.88333333333333,49.781,0.04885
1.9,49.592,0.04892
1.91666666666667,49.941,0.04908
1.93333333333333,49.902,0.04913
1.95,49.892,0.04902
1.96666666666667,49.759,0.04911
1.98333333333333,49.865,0.0493
2.0,49.852,0.04894
2.01666666666667,49.893,0.04897
2.03333333333333,49.619,0.04898
2.05,49.792,0.04929
2.06666666666667,49.612,0.0492
2.08333333333333,49.845,0.04941
2.1,49.77,0.04938
2.11666666666667,49.683,0.04924
2.13333333333333,49.669,0.04954
2.15,49.916,0.0495
2.16666666666667,49.714,0.04928
2.18333333333333,50.095,0.04935
2.2,49.929,0.04934
2.21666666666667,49.817,0.04929
2.23333333333333,49.943,0.0493
2.25,49.664,0.04971
2.26666666666667,50.135,0.04948
2.28333333333333,49.902,0.04947
2.3,50.056,0.04966
2.31666666666667,49.71,0.04959
2.33333333333333,49.915,0.0498
2.35,49.92,0.04973
2.36666666666667,50.147,0.0496
2.38333333333333,49.967,0.04956
2.4,49.921,0.04988
2.41666666666667,49.821,0.04976
2.43333333333333,49.856,0.04989
2.45,49.953,0.04949
2.46666666666667,49.915,0.04986
2.48333333333333,49.708,0.04977
2.5,50.163,0.04981
2.51666666666667,50.198,0.05004
2.53333333333333,49.82,0.05009
2.55,50.027,0.04976
2.56666666666667,49.804,0.04998
2.58333333333333,50.086,0.05016
2.6,49.891,0.0499
2.61666666666667,50.08,0.04998
2.63333333333333,50.113,0.04997
2.65,50.134,0.0499
2.66666666666667,49.804,0.05021
2.68333333333333,50.208,0.05014
2.7,49.865,0.04981
2.71666666666667,49.769,0.05025
2.73333333333333,50.027,0.05019
2.75,49.935,0.04989
2.76666666666667,50.165,0.05017
2.78333333333333,50.154,0.0498
2.8,49.909,0.05025
2.81666666666667,50.226,0.05008
2.83333333333333,49.895,0.05008
2.85,50.008,0.0498
2.86666666666667,49.878,0.0502
2.88333333333333,50.218,0.04976
2.9,49.832,0.04987
2.91666666666667,49.772,0.04982
2.93333333333333,49.968,0.05014
2.95,50.246,0.04985
2.96666666666667,50.196,0.05021
2.98333333333333,50.124,0.05008
3.0,50.195,0.04977
3.01666666666667,50.197,0.04975
3.03333333333333,50.009,0.04978
3.05,49.908,0.05005
3.06666666666667,50.136,0.05015
3.08333333333333,50.081,0.04987
3.1,49.937,0.05017
3.11666666666667,49.797,0.04978
3.13333333333333,50.123,0.05015
3.15,49.881,0.05021
3.16666666666667,50.218,0.05014
3.18333333333333,49.87,0.0501
3.2,49.811,0.05017
3.21666666666667,50.166,0.04977
3.23333333333333,49.827,0.04985
3.25,49.84,0.04981
3.26666666666667,50.05,0.05
3.28333333333333,50.187,0.05012
3.3,49.848,0.05007
3.31666666666667,49.905,0.05018
3.33333333333333,50.139,0.04983
3.35,50.236,0.05012
3.36666666666667,50.0,0.04985
3.38333333333333,49.822,0.04989
3.4,49.757,0.0501
3.41666666666667,49.865,0.05024
3.43333333333333,49.816,0.05006
3.45,50.089,0.04978
3.46666666666667,49.811,0.05006
3.48333333333333,50.003,0.04977
3.5,50.097,0.05019
3.51666666666667,50.041,0.0501
3.53333333333333,49.85,0.04984
3.55,50.152,0.0498
3.56666666666667,50.108,0.04984
3.58333333333333,50.119,0.05024
3.6,49.816,0.04998
3.61666666666667,49.812,0.05014
3.63333333333333,50.214,0.05007
3.65,49.949,0.05004
3.66666666666667,49.9,0.04982
3.68333333333333,49.994,0.05022
3.7,50.081,0.0499
3.71666666666667,50.228,0.05004
3.73333333333333,49.893,0.0501
3.75,50.212,0.05007
3.76666666666667,49.762,0.05022
3.78333333333333,50.028,0.04982
3.8,50.067,0.05
3.81666666666667,49.803,0.04995
3.83333333333333,49.82,0.04999
3.85,49.96,0.04981
3.86666666666667,50.233,0.04982
3.88333333333333,50.048,0.04989
3.9,50.217,0.0499
3.91666666666667,50.152,0.04996
3.93333333333333,49.984,0.05006
3.95,50.142,0.05007
3.96666666666667,49.759,0.04996
3.98333333333333,49.805,0.04995
4.0,50.165,0.04986
