time_s,time_h,temperature_C,temperature_K,air_moisture_kg_per_kg
3300,0.916666666666667,46.933,320.083,0.04187
3360,0.933333333333333,46.912,320.062,0.04205
3420,0.95,47.089,320.239,0.04229
3480,0.966666666666667,47.008,320.158,0.04247
3540,0.983333333333333,47.111,320.261,0.04277
3600,1,47.485,320.635,0.04272
3660,1.01666666666667,47.498,320.648,0.04312
3720,1.03333333333333,47.646,320.796,0.04333
3780,1.05,47.84,320.99,0.04369
3840,1.06666666666667,47.873,321.023,0.04373
3900,1.08333333333333,47.926,321.076,0.04389
3960,1.1,48.016,321.166,0.0442
4020,1.11666666666667,47.977,321.127,0.04422
4080,1.13333333333333,47.926,321.076,0.04435
4140,1.15,48.199,321.349,0.04468
4200,1.16666666666667,48.166,321.316,0.04483
4260,1.18333333333333,48.331,321.481,0.04491
4320,1.2,48.615,321.765,0.04514
4380,1.21666666666667,48.38,321.53,0.0453
4440,1.23333333333333,48.357,321.507,0.04543
4500,1.25,48.526,321.676,0.04561
4560,1.26666666666667,48.59,321.74,0.04589
4620,1.28333333333333,48.825,321.975,0.04585
4680,1.3,48.827,321.977,0.04629
4740,1.31666666666667,48.988,322.138,0.04641
4800,1.33333333333333,48.979,322.129,0.04633
4860,1.35,48.9,322.05,0.04639
4920,1.36666666666667,49.144,322.294,0.0466
4980,1.38333333333333,48.87,322.02,0.04687
5040,1.4,48.84,321.99,0.04689
5100,1.41666666666667,48.913,322.063,0.04707
5160,1.43333333333333,49.261,322.411,0.04705
5220,1.45,49.169,322.319,0.0472
5280,1.46666666666667,49.056,322.206,0.04713
5340,1.48333333333333,49.257,322.407,0.04744
5400,1.5,49.116,322.266,0.04728
5460,1.51666666666667,49.415,322.565,0.0476
5520,1.53333333333333,49.321,322.471,0.04777
5580,1.55,49.317,322.467,0.04751
5640,1.56666666666667,49.304,322.454,0.04782
5700,1.58333333333333,49.492,322.642,0.04765
5760,1.6,49.384,322.534,0.04802
5820,1.61666666666667,49.272,322.422,0.04779
5880,1.63333333333333,49.31,322.46,0.04827
5940,1.65,49.749,322.899,0.04795
6000,1.66666666666667,49.743,322.893,0.04841
6060,1.68333333333333,49.66,322.81,0.0484
6120,1.7,49.463,322.613,0.04836
6180,1.71666666666667,49.83,322.98,0.04851
6240,1.73333333333333,49.753,322.903,0.04858
6300,1.75,49.739,322.889,0.04871
6360,1.76666666666667,49.622,322.772,0.04842
6420,1.78333333333333,49.55,322.7,0.04864
6480,1.8,49.477,322.627,0.04845
6540,1.81666666666667,49.891,323.041,0.04875
6600,1.83333333333333,49.683,322.833,0.04858
6660,1.85,49.569,322.719,0.04882
6720,1.86666666666667,49.633,322.783,0.04886
6780,1.88333333333333,49.781,322.931,0.04885
6840,1.9,49.592,322.742,0.04892
6900,1.91666666666667,49.941,323.091,0.04908
6960,1.93333333333333,49.902,323.052,0.04913
7020,1.95,49.892,323.042,0.04902
7080,1.96666666666667,49.759,322.909,0.04911
7140,1.98333333333333,49.865,323.015,0.0493
7200,2,49.852,323.002,0.04894
7260,2.01666666666667,49.893,323.043,0.04897
7320,2.03333333333333,49.619,322.769,0.04898
7380,2.05,49.792,322.942,0.04929
7440,2.06666666666667,49.612,322.762,0.0492
7500,2.08333333333333,49.845,322.995,0.04941
7560,2.1,49.77,322.92,0.04938
7620,2.11666666666667,49.683,322.833,0.04924
7680,2.13333333333333,49.669,322.819,0.04954
7740,2.15,49.916,323.066,0.0495
7800,2.16666666666667,49.714,322.864,0.04928
7860,2.18333333333333,50.095,323.245,0.04935
7920,2.2,49.929,323.079,0.04934
7980,2.21666666666667,49.817,322.967,0.04929
8040,2.23333333333333,49.943,323.093,0.0493
8100,2.25,49.664,322.814,0.04971
8160,2.26666666666667,50.135,323.285,0.04948
8220,2.28333333333333,49.902,323.052,0.04947
8280,2.3,50.056,323.206,0.04966
8340,2.31666666666667,49.71,322.86,0.04959
8400,2.33333333333333,49.915,323.065,0.0498
8460,2.35,49.92,323.07,0.04973
8520,2.36666666666667,50.147,323.297,0.0496
8580,2.38333333333333,49.967,323.117,0.04956
8640,2.4,49.921,323.071,0.04988
8700,2.41666666666667,49.821,322.971,0.04976
8760,2.43333333333333,49.856,323.006,0.04989
8820,2.45,49.953,323.103,0.04949
8880,2.46666666666667,49.915,323.065,0.04986
8940,2.48333333333333,49.708,322.858,0.04977
9000,2.5,50.163,323.313,0.04981
9060,2.51666666666667,50.198,323.348,0.05004
9120,2.53333333333333,49.82,322.97,0.05009
9180,2.55,50.027,323.177,0.04976
9240,2.56666666666667,49.804,322.954,0.04998
9300,2.58333333333333,50.086,323.236,0.05016
9360,2.6,49.891,323.041,0.0499
9420,2.61666666666667,50.08,323.23,0.04998
9480,2.63333333333333,50.113,323.263,0.04997
9540,2.65,50.134,323.284,0.0499
9600,2.66666666666667,49.804,322.954,0.05021
9660,2.68333333333333,50.208,323.358,0.05014
9720,2.7,49.865,323.015,0.04981
9780,2.71666666666667,49.769,322.919,0.05025
9840,2.73333333333333,50.027,323.177,0.05019
9900,2.75,49.935,323.085,0.04989
9960,2.76666666666667,50.165,323.315,0.05017
10020,2.78333333333333,50.154,323.304,0.0498
10080,2.8,49.909,323.059,0.05025
10140,2.81666666666667,50.226,323.376,0.05008
10200,2.83333333333333,49.895,323.045,0.05008
10260,2.85,50.008,323.158,0.0498
10320,2.86666666666667,49.878,323.028,0.0502
10380,2.88333333333333,50.218,323.368,0.04976
10440,2.9,49.832,322.982,0.04987
10500,2.91666666666667,49.772,322.922,0.04982
10560,2.93333333333333,49.968,323.118,0.05014
10620,2.95,50.246,323.396,0.04985
10680,2.96666666666667,50.196,323.346,0.05021
10740,2.98333333333333,50.124,323.274,0.05008
10800,3,50.195,323.345,0.04977
10860,3.01666666666667,50.197,323.347,0.04975
10920,3.03333333333333,50.009,323.159,0.04978
10980,3.05,49.908,323.058,0.05005
11040,3.06666666666667,50.136,323.286,0.05015
11100,3.08333333333333,50.081,323.231,0.04987
11160,3.1,49.937,323.087,0.05017
11220,3.11666666666667,49.797,322.947,0.04978
11280,3.13333333333333,50.123,323.273,0.05015
11340,3.15,49.881,323.031,0.05021
11400,3.16666666666667,50.218,323.368,0.05014
11460,3.18333333333333,49.87,323.02,0.0501
11520,3.2,49.811,322.961,0.05017
11580,3.21666666666667,50.166,323.316,0.04977
11640,3.23333333333333,49.827,322.977,0.04985
11700,3.25,49.84,322.99,0.04981
11760,3.26666666666667,50.05,323.2,0.05
11820,3.28333333333333,50.187,323.337,0.05012
11880,3.3,49.848,322.998,0.05007
11940,3.31666666666667,49.905,323.055,0.05018
12000,3.33333333333333,50.139,323.289,0.04983
12060,3.35,50.236,323.386,0.05012
12120,3.36666666666667,50,323.15,0.04985
12180,3.38333333333333,49.822,322.972,0.04989
12240,3.4,49.757,322.907,0.0501
12300,3.41666666666667,49.865,323.015,0.05024
12360,3.43333333333333,49.816,322.966,0.05006
12420,3.45,50.089,323.239,0.04978
12480,3.46666666666667,49.811,322.961,0.05006
12540,3.48333333333333,50.003,323.153,0.04977
12600,3.5,50.097,323.247,0.05019
12660,3.51666666666667,50.041,323.191,0.0501
12720,3.53333333333333,49.85,323,0.04984
12780,3.55,50.152,323.302,0.0498
12840,3.56666666666667,50.108,323.258,0.04984
12900,3.58333333333333,50.119,323.269,0.05024
12960,3.6,49.816,322.966,0.04998
13020,3.61666666666667,49.812,322.962,0.05014
13080,3.63333333333333,50.214,323.364,0.05007
13140,3.65,49.949,323.099,0.05004
13200,3.66666666666667,49.9,323.05,0.04982
13260,3.68333333333333,49.994,323.144,0.05022
13320,3.7,50.081,323.231,0.0499
13380,3.71666666666667,50.228,323.378,0.05004
13440,3.73333333333333,49.893,323.043,0.0501
13500,3.75,50.212,323.362,0.05007
13560,3.76666666666667,49.762,322.912,0.05022
13620,3.78333333333333,50.028,323.178,0.04982
13680,3.8,50.067,323.217,0.05
13740,3.81666666666667,49.803,322.953,0.04995
13800,3.83333333333333,49.82,322.97,0.04999
13860,3.85,49.96,323.11,0.04981
13920,3.86666666666667,50.233,323.383,0.04982
13980,3.88333333333333,50.048,323.198,0.04989
14040,3.9,50.217,323.367,0.0499
14100,3.91666666666667,50.152,323.302,0.04996
14160,3.93333333333333,49.984,323.134,0.05006
14220,3.95,50.142,323.292,0.05007
14280,3.96666666666667,49.759,322.909,0.04996
14340,3.98333333333333,49.805,322.955,0.04995
14400,4,50.165,323.315,0.04986
